NUM_PPI,MODALIDAD_PP,DESC_PP,ID_ENTIDAD_FEDERATIVA,ENTIDAD_FEDERATIVA,ID_MUNICIPIO,MUNICIPIO,DESC_PPI,MONTO_APROBADO,MONTO_PAGADO
1,U057,FONDO METROPOLITANO,1,AGUASCALIENTES,1,AGUASCALIENTES,"REGENERACIÓN DE LA IMAGEN URBANA DE CALLE GALEANA (TERCERA ETAPA ,   C. VICENCIO - C. ECUADOR.)",30900000,30869100
2,U057,FONDO METROPOLITANO,1,AGUASCALIENTES,1,AGUASCALIENTES,PROYECTO EJECUTIVO Y ANÁLISIS COSTO BENEFICIO DE LA CONSTRUCCIÓN DE PASO A DESNIVEL EN AV. MIGUEL DE LA MADRID CRUCE CON COLOSIO,1000000,999000
3,U057,FONDO METROPOLITANO,1,AGUASCALIENTES,1,AGUASCALIENTES,PROYECTO EJECUTIVO DE LA CONSTRUCCIÓN DE AV. GARZA SADA - LIBRAMIENTO A ¨POCITOS (AGS - JESÚS MARÍA).,520000,519480
4,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,1,AGUASCALIENTES,1,AGUASCALIENTES,PAVIMENTO BOULEVARD GUADALUPANO,16000000,15984000
5,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,1,AGUASCALIENTES,1,AGUASCALIENTES,"PAVIMENTO CALLE PARRAS ,   TRAMO AV. MOSCATEL-AV. AGUASCALIENTES ORIENTE",3500000,3496500
6,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,1,AGUASCALIENTES,1,AGUASCALIENTES,"PAVIMENTO HIDRÁULICO ,   GUARNICIÓN Y BANQUETA EN CRUCERO TRAMO AV. GERÓNIMO DE LA CUEVA ,   RODRIGO RINCÓN Y AV. JOSÉ DE JESÚS ,   FRACC. VILLA DE NTRA. SRA. DE LA ASUCNIÓN SECT. GUADALUPE",3500000,3496500
7,U075,FONDO PARA LA ACCESIBILIDAD DE LAS PERSONAS CON DISCAPACIDAD,1,AGUASCALIENTES,1,AGUASCALIENTES,“REHABILITACIÓN Y AMPLIACIÓN  DEL CENTRO DE REHABILITACIÓN E INTEGRACIÓN SOCIAL”,5909756,5909756
8,U076,FONDO DE APOYO EN INFRAESTRUCTURA Y PRODUCTIVIDAD,1,AGUASCALIENTES,1,Aguascalientes,CONSTRUCCIÓN DE CANCHA DE USOS MÚLTIPLES EN EL FRACC. CARTAGENA,4400000,4400000
9,U076,FONDO DE APOYO EN INFRAESTRUCTURA Y PRODUCTIVIDAD,1,AGUASCALIENTES,1,Aguascalientes,CONSTRUCCIÓN DE CANCHA DE USOS MÚLTIPLES EN EL FRACC. FIDEL VELÁZQUEZ,4200000,4200000
10,U076,FONDO DE APOYO EN INFRAESTRUCTURA Y PRODUCTIVIDAD,1,AGUASCALIENTES,1,Aguascalientes,CONSTRUCCIÓN DE CANCHA DE USOS MÚLTIPLES EN EL FRACC. J. GUADALUPE PERALTA,4200000,4200000
11,U088,FONDO DE INFRAESTRUCTURA DEPORTIVA,1,AGUASCALIENTES,1,AGUASCALIENTES,INFRAESTRUCTURA DEPORTIVA PARA MODERNIZAR EL PARQUE MUNICIPAL UBICADO EN AV. AGUASCALIENTES SUR ESQ. AV. LAS AMÉRICAS,3500000,3496500
12,U088,FONDO DE INFRAESTRUCTURA DEPORTIVA,1,AGUASCALIENTES,1,AGUASCALIENTES,"CONSTRUCCIÓN DE GIMNASIO AL AIRE LIBRE ,   JUEGOS LÚDICOS Y TECHUMBRE ,   FRACC. SAN CAYETANO ",3500000,3496500
13,U091,FONDO DE CULTURA,1,AGUASCALIENTES,1,AGUASCALIENTES,CONSTRUCCIÓN DE INSTALACIONES PARA FORO CULTURAL POCITOS,3100000,3096900
14,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,1,AGUASCALIENTES,"CONSTRUCCIÓN ,   REHABILITACIÓN Y MODERNIZACIÓN DEL COMPLEJO TRES CENTURIAS EN AGUASCALIENTES ,   TERCERA ETAPA",150000000,149850000
15,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,1,AGUASCALIENTES,"CONSOLIDACIÓN DEL CAMPUS UNIVERSITARIO SUR DE LA UAA EN AGUASCALIENTES ,   AGUASCALIENTES. TERCERA ETAPA",70000000,0
16,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,1,AGUASCALIENTES,PROLONGACIÓN DE PASO A DESNIVEL EN AV. LÓPEZ MATEOS Y CALLE J. F. ELIZONDO EN LA CIUDAD DE AGUASCALIENTES,135000000,134865000
17,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,1,AGUASCALIENTES,"CONSOLIDACIÓN DEL CENTRO TURÍSTICO Y RECREATIVO ISLA SAN MARCOS ,   AGUASCALIENTES",40000000,39960000
18,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,1,AGUASCALIENTES,REHABILITACIÓN DEL CENTRO DE EDUCACIÓN AMBIENTAL Y RECREATIVO RODOLFO LANDEROS GALLEGOS DE LA CIUDAD DE AGUASCALIENTES,40000000,39960000
19,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,1,AGUASCALIENTES,"CONSTRUCCIÓN DE LA PUERTA SUR AL ESTADO DE AGUASCALIENTES ,   SEGUNDA ETAPA",10000000,9990000
20,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,1,AGUASCALIENTES,"INFRAESTRUCTURA MUNICIPAL EN AGUASCALIENTES ,   AGUASCALIENTES",6100000,1498500
21,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,1,AGUASCALIENTES,"REHABILITACIÓN DE CANCHAS Y CONSTRUCCIÓN DE GIMNASIO AL AIRE LIBRE INFONAVIT MORELOS ,   AGUASCALIENTES",2500000,0
22,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,1,AGUASCALIENTES,"INFRAESTRUCTURA PARA EL DESARROLLO MUNICIPAL DE AGUASCALIENTES ,   AGUASCALIENTES",100000000,19980000
23,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,1,AGUASCALIENTES,2,ASIENTOS,"PAVIMENTACIÓN CON CONCRETO HIDRÁULICO ,   SEGUNDA ETAPA ,    CALLE 5 DE MAYO Y EMILIANO ZAPATA ,   COMUNIDAD LAS ADJUNTAS.",2314768,2312453.23
24,U076,FONDO DE APOYO EN INFRAESTRUCTURA Y PRODUCTIVIDAD,1,AGUASCALIENTES,2,Asientos,PAVIMENTO BIMBALETES ATLAS CALLE INDEPENDENCIA,1155000,1155000
